cp,negocios_estimados,area_km2,densidad_negocios_km2,sector_principal,lat,lon
79797,353,107.747,3.3,Comercio,21.47613043338694,-99.49438375217211
79794,388,114.161,3.4,Servicios,21.67438412737405,-99.32741572033709
79795,408,106.43,3.8,Servicios,21.595544653593393,-99.31382831778893
79572,203,76.498,2.7,Comercio,21.907180774791698,-100.50080821186714
78633,91,351.065,0.3,Salud y educación,23.47390089913985,-101.63421155069878
78639,292,222.807,1.3,Alimentos y bebidas,23.126915834060767,-101.66036158867145
79574,321,74.066,4.3,Comercio,21.83645807925913,-100.43900200028853
78636,182,527.443,0.3,Salud y educación,23.629521563249572,-101.40961627348406
78953,201,101.234,2.0,Servicios,22.763284328060873,-100.79185937531649
78954,216,84.629,2.6,Alimentos y bebidas,22.673432836877783,-100.7049513876539
79573,506,70.801,7.1,Comercio,21.906446239317127,-100.42451179262562
79576,447,56.171,8.0,Servicios,21.76840896553545,-100.43365362780001
79575,362,54.517,6.6,Alimentos y bebidas,21.811023754495388,-100.35138076144914
79570,454,49.801,9.1,Comercio,21.856994145365487,-100.54123737401099
79589,531,45.851,11.6,Industria manufacturera,21.574645142530066,-100.65645113222075
79587,392,40.505,9.7,Comercio,21.564644846587942,-100.61180527775552
79562,677,55.717,12.2,Industria manufacturera,21.89931107304087,-100.63715640338451
79564,544,36.781,14.8,Servicios,21.868142218054693,-100.70613145908223
79563,369,36.853,10.0,Comercio,21.859969119102168,-100.7573703130045
79565,422,48.012,8.8,Servicios,21.80279195921362,-100.7814192582332
79569,309,66.942,4.6,Comercio,21.77468312530778,-100.59580914860803
79579,208,90.893,2.3,Industria manufacturera,21.79691432598178,-100.23537260748223
79578,186,168.624,1.1,Salud y educación,21.727474305184657,-100.26211348281034
79580,743,39.806,18.7,Comercio,21.718179641417414,-100.66184017723835
79571,293,75.298,3.9,Industria manufacturera,21.792519658475978,-100.51345208374714
78495,161,210.963,0.8,Comercio,22.081936248842123,-101.25055214665971
79375,500,90.08,5.6,Servicios,21.991000230502827,-99.48311260873615
79581,342,91.178,3.8,Alimentos y bebidas,21.738083849162162,-100.73847609715659
78000,3200,1.277,2506.4,Comercio,22.152249792649748,-100.97631428345849
79947,358,36.462,9.8,Servicios,21.46910531480325,-98.76580204416614
79942,753,19.862,37.9,Servicios,21.429255565742988,-98.69220246541542
79945,765,31.659,24.2,Industria manufacturera,21.3631548956206,-98.75165524124816
79949,1375,15.168,90.6,Comercio,21.452232273453497,-98.71437672397258
79943,1011,11.156,90.6,Comercio,21.39589868057459,-98.69915605884296
79944,1132,18.586,60.9,Comercio,21.367607521430607,-98.71952260513424
79606,217,115.931,1.9,Servicios,22.003574850361712,-100.32309233290924
79603,302,104.394,2.9,Comercio,21.987585728531716,-100.19111540219895
79630,212,138.534,1.5,Salud y educación,22.33081778068073,-100.00145427865824
79634,285,120.15,2.4,Alimentos y bebidas,22.105938525780616,-100.22530904719235
79633,251,183.146,1.4,Comercio,22.23205051100173,-99.94641690405436
79647,419,134.326,3.1,Alimentos y bebidas,21.751105472578764,-99.83530247558035
79645,399,141.561,2.8,Salud y educación,21.85103440059211,-99.84091664624286
79607,352,153.136,2.3,Comercio,21.836564955793882,-100.13338763014305
79948,858,17.512,49.0,Comercio,21.42339198397504,-98.74213760015208
79605,208,196.635,1.1,Comercio,21.91370652263198,-100.2863108841735
79940,3200,0.894,3578.5,Salud y educación,21.401042043421473,-98.7283536235925
79643,184,185.936,1.0,Alimentos y bebidas,21.700896401006844,-99.9522422373811
78037,3200,0.023,141534.9,Servicios,22.167755118441416,-100.96979606102867
78038,3200,1.075,2976.5,Salud y educación,22.165221092353832,-100.97386563267706
78040,3200,0.031,101918.1,Industria manufacturera,22.15961217355933,-100.9779976861683
78049,2380,1.36,1749.8,Comercio,22.16193215760194,-100.98353151024436
78106,3200,0.019,165179.9,Servicios,22.1909244761962,-100.98749664214847
79637,308,123.877,2.5,Industria manufacturera,22.238425714512914,-100.07597407658162
79205,3028,0.67,4520.6,Servicios,22.00498260991072,-98.78496147098795
79819,564,38.726,14.6,Alimentos y bebidas,21.808545798566133,-98.81458814263027
79814,402,34.752,11.6,Salud y educación,21.719102085001865,-98.89074617755817
79390,363,33.92,10.7,Comercio,21.97555251808586,-99.54362536044039
79670,340,113.001,3.0,Industria manufacturera,21.97549629150383,-100.42679105908454
79673,354,53.02,6.7,Comercio,22.067221828737683,-100.38032534689356
79674,587,63.526,9.2,Comercio,22.072715174222676,-100.2930987037704
79675,344,110.695,3.1,Servicios,22.036746258671613,-100.15650481184929
79343,204,211.313,1.0,Servicios,22.380190350869587,-99.91001876166887
79340,194,277.674,0.7,Salud y educación,22.232109409334466,-99.79758981012318
79353,220,116.955,1.9,Industria manufacturera,22.532527851195514,-99.53332383077729
78587,176,189.482,0.9,Servicios,23.45474746703375,-101.19084641357541
78584,282,178.242,1.6,Comercio,23.34021254512588,-100.93253749313551
78578,153,292.321,0.5,Alimentos y bebidas,23.131370031570444,-101.35484157989009
78577,143,181.358,0.8,Servicios,23.11277021964636,-101.23505584015578
78107,3200,0.28,11426.7,Salud y educación,22.190248965468644,-100.98196207814131
79337,142,182.161,0.8,Comercio,22.273068932662863,-99.5148998454088
79354,183,188.54,1.0,Salud y educación,22.621662578462235,-99.64087502898079
79336,318,191.774,1.7,Alimentos y bebidas,22.294782211020305,-99.4109440718644
79335,277,110.444,2.5,Comercio,22.414159808452393,-99.42822257683366
79330,249,281.181,0.9,Industria manufacturera,22.27700573935914,-99.66647657085056
79396,438,73.293,6.0,Salud y educación,22.058257986138248,-99.73354862513392
79347,262,198.91,1.3,Comercio,22.651706332792696,-99.98504899439182
79356,356,143.796,2.5,Comercio,22.615858003064815,-99.81314146826436
79355,291,166.444,1.7,Salud y educación,22.542658832328627,-99.70000373468437
79206,3200,0.453,7063.0,Comercio,22.00809797394874,-98.78346076520056
78575,168,148.328,1.1,Servicios,23.070174328980293,-100.90033990527499
78574,206,154.127,1.3,Servicios,23.176540915595382,-100.97189082961405
78576,306,164.736,1.9,Comercio,23.07456943723828,-101.01943663471832
78586,214,279.921,0.8,Comercio,23.35754804057277,-101.08312245916466
79207,3200,0.788,4060.5,Salud y educación,22.01422439338621,-98.78790739160776
78585,271,245.304,1.1,Comercio,23.26651189962022,-101.21122613067132
78580,306,102.122,3.0,Comercio,23.24185937838267,-101.0422473882476
79937,306,36.548,8.4,Alimentos y bebidas,21.40454706740806,-98.90902198302273
78990,547,50.889,10.7,Comercio,22.399051914167256,-100.50682270433485
78993,616,47.696,12.9,Servicios,22.34462065889994,-100.57944272093096
78987,394,64.788,6.1,Comercio,22.14046346647803,-100.60472843248783
78457,149,168.432,0.9,Alimentos y bebidas,22.331359315293014,-101.34451378436717
79228,514,82.467,6.2,Servicios,21.934710486400466,-98.77681748929298
79767,421,108.259,3.9,Servicios,21.530582068135473,-99.08582526162502
79770,287,62.421,4.6,Comercio,21.653037876759928,-99.1466736767569
79776,258,110.67,2.3,Alimentos y bebidas,21.795736425464412,-99.13783192847099
79774,545,64.353,8.5,Alimentos y bebidas,21.714947666006243,-99.14338218173478
78453,352,162.922,2.2,Comercio,22.601941981181415,-101.27235492700473
78454,198,157.638,1.3,Comercio,22.461952609466014,-101.27864670029508
79420,803,31.149,25.8,Alimentos y bebidas,22.502718526704303,-100.37615680537388
79436,327,87.623,3.7,Servicios,22.349968700503684,-100.39752507394991
79430,323,51.428,6.3,Salud y educación,22.445064916404228,-100.43471367640646
79421,673,48.023,14.0,Salud y educación,22.545257528025274,-100.30176095728731
79410,892,26.799,33.3,Alimentos y bebidas,22.518248385091464,-100.03212308558265
79408,277,46.793,5.9,Industria manufacturera,22.395437003021275,-100.17998148806836
79412,396,53.236,7.4,Salud y educación,22.458403043893604,-100.0274386634505
79401,689,42.375,16.3,Alimentos y bebidas,22.508215090510735,-100.16539912006267
78456,324,168.995,1.9,Comercio,22.405955349744943,-101.21808885963722
78109,3200,1.221,2621.7,Comercio,22.20788629172806,-100.98748219693375
78996,603,59.168,10.2,Alimentos y bebidas,22.312173934302695,-100.65034208122854
79400,451,33.03,13.7,Alimentos y bebidas,22.518412213078804,-100.2203590833683
79210,275,132.867,2.1,Comercio,22.0767005824374,-98.82159753067995
79226,323,166.3,1.9,Comercio,21.951181311982005,-98.66292964453474
79220,192,90.58,2.1,Comercio,21.995634343505664,-98.84047996597894
78986,375,58.565,6.4,Alimentos y bebidas,22.15385575247232,-100.6686712215914
79429,709,49.601,14.3,Comercio,22.522478866108333,-100.47495534448586
78110,3009,2.307,1304.0,Servicios,22.18841135945842,-100.99698344495494
78116,3200,1.718,1863.0,Servicios,22.19553368555288,-101.00444559532181
78994,602,64.641,9.3,Comercio,22.322378058533065,-100.53421768099302
78997,745,45.438,16.4,Comercio,22.20095001858055,-100.61008315700555
78455,439,117.97,3.7,Comercio,22.46119692733625,-101.11575972862349
79777,157,167.706,0.9,Servicios,21.91295680784956,-99.19814047738492
79775,349,131.642,2.7,Comercio,21.739739569779445,-99.03627154625211
78421,634,37.049,17.1,Servicios,22.09141340335964,-100.8561895668505
79414,562,31.405,17.9,Servicios,22.474945105474642,-100.12828616744503
79405,518,27.71,18.7,Industria manufacturera,22.494245949263103,-100.26354140967054
79415,367,26.15,14.0,Salud y educación,22.500884603905693,-100.08348876427736
79413,663,30.595,21.7,Industria manufacturera,22.441133248859394,-100.08888990949828
79416,914,23.353,39.1,Industria manufacturera,22.54115258340246,-100.07997250776005
79431,502,37.003,13.6,Comercio,22.365232186490726,-100.35171711371468
79437,454,74.262,6.1,Comercio,22.31202889913383,-100.4342501368896
79428,498,33.824,14.7,Alimentos y bebidas,22.466590404572266,-100.39248950346702
79443,3200,0.609,5255.6,Comercio,22.434532771066376,-100.27711421596405
79878,921,10.955,84.1,Servicios,21.484528975145004,-98.90750545180335
78120,2869,1.675,1712.7,Comercio,22.189879553889238,-101.01388211877735
78870,2310,1.336,1728.5,Servicios,22.61642203962131,-100.40039552110126
78130,3200,1.369,2338.1,Industria manufacturera,22.181569878041312,-101.01576429326191
79871,2925,3.484,839.6,Servicios,21.530965960591683,-98.89053622784567
79860,1770,3.284,539.0,Servicios,21.537697443015308,-98.90424692518238
79867,739,7.275,101.6,Comercio,21.52644080287359,-98.9450000257637
79861,1527,5.553,275.0,Servicios,21.54460882655983,-98.92872600112977
79866,1752,6.293,278.4,Servicios,21.513615368871733,-98.94354448759387
79876,1175,9.148,128.4,Comercio,21.529168267668904,-98.85639935881953
79879,986,13.305,74.1,Salud y educación,21.513022343646107,-98.86384609682517
79870,1921,6.511,295.0,Comercio,21.502678084971947,-98.89966423712335
79864,941,6.084,154.7,Servicios,21.51806011548336,-98.91044795424615
79865,1110,13.952,79.6,Comercio,21.4941788865171,-98.9395906771436
79863,2479,4.222,587.2,Alimentos y bebidas,21.552367972312634,-98.9005822572833
79874,3200,1.47,2177.5,Comercio,21.547383555454903,-98.88389625612301
79807,484,27.474,17.6,Comercio,21.694595324831653,-98.9807759156701
79800,867,10.609,81.7,Servicios,21.586546206454546,-98.9647053250564
79803,1939,6.873,282.1,Comercio,21.5935146848963,-98.99016093356776
79802,704,22.036,31.9,Servicios,21.573056022270634,-98.92340012016192
79804,662,15.384,43.0,Industria manufacturera,21.599833656481167,-98.93075951674399
79805,653,29.177,22.4,Comercio,21.631410120714726,-98.95833992324435
79806,797,26.416,30.2,Comercio,21.661718643831517,-98.97636083338291
79290,412,100.516,4.1,Alimentos y bebidas,22.017569207047718,-98.49635780438915
78483,3044,0.765,3980.1,Servicios,22.273536984313658,-101.12408881043277
79295,303,60.788,5.0,Salud y educación,22.11120282416059,-98.4701966177017
79297,323,109.139,3.0,Comercio,22.326538883602733,-98.58771469232852
79294,302,73.027,4.1,Alimentos y bebidas,22.211317842920863,-98.55294814435665
79686,3200,0.938,3411.1,Alimentos y bebidas,21.64166328163902,-99.82236957838153
79890,1375,9.968,137.9,Salud y educación,21.48793145660607,-98.97756174191358
79895,1690,6.134,275.5,Salud y educación,21.465731729896124,-98.96889909766911
79683,3200,0.155,20710.2,Servicios,21.66053831915622,-99.82341673272589
79690,547,57.418,9.5,Servicios,21.66891151807424,-99.8251477097844
79888,2792,3.456,807.9,Servicios,21.536175126242146,-98.98892754168027
79887,2608,4.261,612.1,Industria manufacturera,21.546748106435313,-99.01823250518619
79889,1427,6.811,209.5,Comercio,21.549711814597114,-99.00282809084622
79893,970,8.703,111.5,Industria manufacturera,21.515588839315534,-99.0053697641418
79782,453,86.486,5.2,Servicios,21.658070290094106,-99.73129566173913
79783,474,65.007,7.3,Comercio,21.604296032839017,-99.67825040186348
79788,250,66.244,3.8,Comercio,21.503605368054,-99.58075022046332
78477,303,76.422,4.0,Comercio,22.134366623180412,-101.14692495648823
79786,464,58.678,7.9,Comercio,21.562868258137865,-99.59671675387588
79326,2386,1.633,1460.9,Industria manufacturera,22.4012238584912,-99.61235610001839
78914,302,166.179,1.8,Comercio,22.84407998136333,-101.35679800437708
78906,301,102.277,2.9,Servicios,22.678115674126843,-100.99473807027616
78909,384,66.384,5.8,Comercio,22.569774164559664,-101.16185778099167
78919,538,36.383,14.8,Salud y educación,22.621564639062765,-101.18207371490057
78917,596,40.105,14.9,Industria manufacturera,22.647516520412378,-101.10614614849096
79100,3200,0.06,53207.0,Alimentos y bebidas,22.20991762208908,-98.3790137035412
79170,3200,0.069,46368.2,Comercio,22.213578212259414,-98.37352216625601
78915,264,116.312,2.3,Alimentos y bebidas,22.762963276217764,-101.25057387049658
78910,362,146.399,2.5,Salud y educación,22.68698402935299,-101.24679950077174
78913,259,136.753,1.9,Industria manufacturera,22.7676355280518,-101.40105292288648
79687,3200,1.066,3002.6,Servicios,21.65050815836143,-99.8267063357115
79685,3200,0.673,4753.4,Comercio,21.64966514641401,-99.81205624641315
79320,3200,0.108,29644.6,Comercio,22.400324705586677,-99.6005146410111
79323,3200,0.875,3656.2,Industria manufacturera,22.40736617859543,-99.60380779060966
79324,3200,0.936,3418.7,Comercio,22.405866233703097,-99.59658270046673
79325,3200,1.214,2635.3,Comercio,22.3969225596327,-99.59915195521924
79749,321,130.884,2.5,Comercio,21.730224243947887,-99.66812098805683
78133,3200,0.54,5920.5,Servicios,22.18579823670247,-101.0265205847714
79292,191,92.478,2.1,Industria manufacturera,22.26721140521424,-98.63336106388749
79754,266,69.4,3.8,Servicios,21.863942927181068,-99.46028712844303
79752,276,50.95,5.4,Servicios,21.916562423882677,-99.52300795309489
79750,376,44.952,8.4,Comercio,21.919247238840928,-99.61065150158862
79755,365,127.081,2.9,Servicios,21.79382633629799,-99.55549126861543
79745,762,32.897,23.2,Alimentos y bebidas,21.886828767262024,-99.72331982036785
79505,1155,6.412,180.1,Comercio,21.728964083086847,-100.92740978191112
79753,315,36.487,8.6,Servicios,21.914630543805245,-99.4661178280877
79748,710,51.441,13.8,Comercio,21.74492949578171,-99.75414638677401
78612,178,400.424,0.4,Alimentos y bebidas,23.07145927145715,-101.50779592409033
78610,564,49.278,11.4,Alimentos y bebidas,22.503654198873043,-101.78683524992425
78602,346,178.842,1.9,Comercio,22.761144695229177,-101.76143200864288
78603,118,218.236,0.5,Comercio,22.751288792959063,-101.55094167219029
78613,149,194.241,0.8,Industria manufacturera,22.930375556770784,-101.4727976860171
78605,569,42.163,13.5,Comercio,22.551121695080113,-101.7857143770325
79506,475,72.195,6.6,Alimentos y bebidas,21.783256216485277,-101.0305926652588
79835,555,19.864,27.9,Servicios,21.6462186287668,-98.7584621012944
79834,974,20.976,46.4,Comercio,21.649808374041555,-98.82627970208634
79838,1359,12.615,107.7,Salud y educación,21.624067243503017,-98.84992253396139
79610,1698,2.22,765.0,Comercio,21.931152364841395,-99.9939432103981
79837,1220,6.614,184.5,Industria manufacturera,21.598888345276443,-98.90110377186738
79816,591,68.253,8.7,Servicios,21.691472950440833,-98.72366522402379
79813,857,25.243,33.9,Comercio,21.685433675488323,-98.79517132338704
79615,2568,3.313,775.0,Servicios,21.90464566076859,-99.97697796920961
78779,3200,0.285,11229.0,Alimentos y bebidas,23.63694121362284,-100.63410692461541
78816,479,87.324,5.5,Servicios,23.594094980447423,-100.5934003329175
79616,1918,1.842,1041.3,Salud y educación,21.93235630783997,-99.97805523400422
79364,3200,0.079,40739.2,Comercio,22.12847748248796,-99.59815320441797
78510,184,260.219,0.7,Servicios,24.385851204499136,-100.73910221389745
78513,273,145.457,1.9,Comercio,24.257235213007657,-100.86938373222567
78511,277,237.193,1.2,Alimentos y bebidas,24.23062066709357,-101.00879177007093
78512,158,165.594,1.0,Salud y educación,24.157665357081527,-100.88798981703289
78503,207,295.75,0.7,Alimentos y bebidas,24.08993104695175,-101.1267126444894
78504,206,332.566,0.6,Servicios,24.063740573598785,-100.92621963258416
79844,788,30.206,26.1,Salud y educación,21.563859956861588,-98.63369934313002
78514,135,328.745,0.4,Alimentos y bebidas,24.2742883998667,-100.68478249127773
78502,227,214.87,1.1,Servicios,24.14469005319348,-100.75338643000987
78843,290,114.938,2.5,Industria manufacturera,23.465102016082394,-100.73322755003217
78864,189,179.123,1.1,Alimentos y bebidas,23.037959536105387,-100.79399026657777
78858,506,77.244,6.6,Comercio,23.172859679571175,-100.86264389023263
78856,499,84.515,5.9,Comercio,23.274226065901047,-100.86032999980992
78866,224,194.477,1.2,Servicios,23.077112861558163,-100.62485563852184
78863,174,260.396,0.7,Comercio,23.172098615055873,-100.57708273075549
79139,3200,0.582,5500.4,Comercio,22.220484761980725,-98.36827802081018
78438,828,10.701,77.4,Alimentos y bebidas,22.15115167997114,-100.89747047477447
78868,180,228.466,0.8,Alimentos y bebidas,22.9973742339029,-100.6058372749332
78859,305,162.104,1.9,Comercio,23.158556104228524,-100.74636456311282
79845,421,20.867,20.2,Salud y educación,21.56227553076358,-98.67113131299372
78844,292,51.284,5.7,Industria manufacturera,23.526200190472263,-100.76791312535575
79327,3200,0.414,7721.0,Alimentos y bebidas,22.410200198312474,-99.61219422876465
79350,357,119.634,3.0,Industria manufacturera,22.475265053047163,-99.61772573363976
78857,282,133.631,2.1,Alimentos y bebidas,23.238429832375687,-100.75851309918872
78845,439,24.858,17.7,Comercio,23.58062571672116,-100.8008317278592
78873,3200,0.599,5339.5,Comercio,22.622381686598057,-100.39779096446875
79784,322,122.255,2.6,Servicios,21.689361894191624,-99.56976823135119
79540,3200,0.181,17684.9,Servicios,22.035341870344165,-100.73011953743087
79817,625,46.815,13.4,Comercio,21.744191197329403,-98.77333737107026
79818,641,42.064,15.2,Comercio,21.765230277169106,-98.85730965797393
79815,447,35.973,12.4,Comercio,21.72052789322945,-98.83324542812046
79810,399,38.518,10.4,Comercio,21.666260937361994,-98.8746769853113
78137,3200,0.174,18364.1,Alimentos y bebidas,22.178931259653396,-101.02035040947226
78140,1429,3.715,384.7,Comercio,22.178888869130184,-100.98931188378627
78144,3200,0.09,35702.0,Industria manufacturera,22.176809683541634,-101.00938867618987
79365,3200,0.801,3995.7,Servicios,22.121607432763128,-99.59180929623139
78146,3200,0.345,9267.1,Comercio,22.173365557676163,-101.0101158388891
78147,3200,0.189,16951.0,Comercio,22.17022613308304,-101.01504150410805
78148,3200,0.325,9858.5,Comercio,22.171935140584935,-101.00488436589865
79859,574,39.568,14.5,Comercio,21.523642558358727,-98.79650459409551
79334,396,143.904,2.8,Servicios,22.41380706750504,-99.52953329484055
79333,311,155.296,2.0,Comercio,22.37622469180216,-99.64893914627561
79509,1423,12.367,115.1,Servicios,21.774333289095686,-100.91856281096878
79590,3200,0.361,8865.6,Servicios,21.66739684113686,-100.57317262548818
79485,477,49.468,9.6,Servicios,22.163574998349592,-100.50375072645421
79952,359,45.784,7.8,Comercio,21.44767534631409,-98.63838892820387
79955,539,79.044,6.8,Servicios,21.483170666821582,-98.57117102354287
79958,478,84.67,5.6,Servicios,21.26361792186589,-98.63961079033655
79954,291,49.804,5.8,Servicios,21.500372439646924,-98.65191489049779
79956,236,68.449,3.4,Comercio,21.407160869844457,-98.55955102213777
79495,544,45.755,11.9,Comercio,22.03527393551921,-100.52432106826697
79490,623,64.817,9.6,Comercio,22.090526337884008,-100.44754467810365
79491,519,67.257,7.7,Servicios,22.1124875509234,-100.53245707942835
79493,717,38.819,18.5,Comercio,22.121635864675714,-100.38318413076102
79488,531,44.667,11.9,Servicios,22.173418310490767,-100.36014801787329
79486,369,75.054,4.9,Alimentos y bebidas,22.17807201147186,-100.42750913482304
79487,526,87.577,6.0,Comercio,22.252672613189674,-100.34601628465005
79494,656,35.661,18.4,Servicios,22.025335082438158,-100.4877719104656
79825,646,43.769,14.8,Salud y educación,21.797224891908325,-98.50048949502461
79828,307,64.447,4.8,Comercio,21.9104104020033,-98.56376414880762
79826,341,124.588,2.7,Comercio,21.821512328903275,-98.59506411478075
78433,1027,6.585,156.0,Comercio,22.193483310395376,-100.95379799675658
78434,566,11.926,47.5,Servicios,22.177623548260183,-100.91833973980641
79597,355,104.544,3.4,Comercio,21.712462435322532,-100.36505586757372
79598,409,40.339,10.1,Industria manufacturera,21.582366175103573,-100.49625891367583
79599,455,78.481,5.8,Servicios,21.5712653311556,-100.5569501222301
79507,833,25.539,32.6,Salud y educación,21.752869155923836,-100.92957902240597
79827,508,72.32,7.0,Servicios,21.853962247910957,-98.65819363108689
78825,315,144.059,2.2,Salud y educación,23.292117931563787,-100.62059234126392
78827,344,82.843,4.2,Servicios,23.277112287745975,-100.52029245379018
78820,350,116.234,3.0,Salud y educación,23.36087091359127,-100.51981575730876
78822,542,67.769,8.0,Comercio,23.44425087101772,-100.55529031554072
78824,306,58.425,5.2,Comercio,23.372726923238066,-100.61843133460503
78819,705,37.782,18.7,Servicios,23.48606595463637,-100.65074930627539
78810,296,82.571,3.6,Comercio,23.50543390203751,-100.56446016890284
78818,713,33.941,21.0,Industria manufacturera,23.527980548047058,-100.6607525011215
78811,545,77.618,7.0,Servicios,23.575587427770003,-100.73348208550065
78814,689,26.471,26.0,Comercio,23.569713058268473,-100.6647915703232
78815,268,52.189,5.1,Servicios,23.54787297062658,-100.51300029899566
78805,286,94.729,3.0,Comercio,23.634747912209836,-100.50611536731415
78984,488,20.471,23.8,Salud y educación,22.264129505352198,-100.69508506172504
78821,865,29.327,29.5,Servicios,23.433825065356938,-100.62462338163327
78985,799,39.107,20.4,Salud y educación,22.222351626840688,-100.69039390499867
79366,3200,0.192,16702.6,Comercio,22.13082420394038,-99.60463592488748
79360,3200,0.086,37219.1,Alimentos y bebidas,22.12819347936697,-99.60083027677727
78980,484,48.226,10.0,Industria manufacturera,22.25740719770843,-100.61539796251171
79855,581,66.856,8.7,Comercio,21.508375083581548,-98.7200086178048
79852,589,40.999,14.4,Industria manufacturera,21.606252889530033,-98.75789291187618
79216,240,179.279,1.3,Comercio,22.203489757512326,-98.83932276436295
79225,277,105.408,2.6,Comercio,22.023839851173477,-98.66391087190037
79217,328,135.318,2.4,Alimentos y bebidas,22.147815412895717,-98.64619735751742
79214,219,155.315,1.4,Industria manufacturera,22.325848542361744,-98.71813348346316
79215,226,134.73,1.7,Salud y educación,22.31788001132592,-98.84140089902672
79213,357,142.501,2.5,Servicios,22.19918620820743,-98.73916474950087
79218,373,75.364,4.9,Comercio,22.148194282615844,-98.55296797474026
79212,269,105.448,2.6,Salud y educación,22.08524313605827,-98.72963130029972
78976,166,300.337,0.6,Servicios,22.91090239686271,-100.68272644073332
79842,1526,12.619,120.9,Industria manufacturera,21.669992946333988,-98.6660063513005
